SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SQRDSFWARE,EQ,96.9,96.9,88.05,90.45,90,88.3,359900,33013240,2-APR-1998,
SREERAYALK,EQ,12,12.1,11.2,11.2,11.2,12.3,26900,314295,2-APR-1998,
SRERAYHY+H,EQ,2.9,3.1,2.9,3.1,3.1,2.9,900,2640,2-APR-1998,
SRF,EQ,20.1,20.1,16.65,17.65,18.1,18.45,275100,4807152.5,2-APR-1998,
SRFFINANCE,EQ,23.25,25.5,23.25,25.5,25.5,25.1,400,9925,2-APR-1998,
SRGINFOTEC,EQ,2.15,2.15,2.15,2.15,2.15,1.9,23200,49880,2-APR-1998,
SRICHAKTYR,EQ,37,37,35.8,36,35.8,35.55,1950,70450,2-APR-1998,
SRISARALOY,EQ,1.8,1.8,1.8,1.8,1.8,1.9,2000,3600,2-APR-1998,
SRISHTIVID,EQ,2.25,2.25,2.25,2.25,2.25,2.6,100,225,2-APR-1998,
SRIVISHCEM,EQ,11.5,12.1,11.5,11.6,11.65,11,25300,300240,2-APR-1998,
SRTRANSFIN,EQ,8.75,8.75,8.75,8.75,8.75,9.5,700,6125,2-APR-1998,
STANDRDBAT,EQ,8.05,8.4,7.75,8.4,8.4,8.25,1400,11360,2-APR-1998,
STARPAPER,EQ,8.55,8.55,8.55,8.55,8.55,8.3,100,855,2-APR-1998,
STDIND,EQ,4.75,4.8,4.5,4.8,4.8,4.55,4800,22065,2-APR-1998,
STEELCOGUJ,EQ,2.25,2.25,2.05,2.25,2.25,2.4,3000,6545,2-APR-1998,
STEELTUBES,EQ,6.6,8,6.6,8,8,7.65,2500,19885,2-APR-1998,
STERLINHOL,EQ,10.6,10.95,10.6,10.95,10.95,10.25,700,7515,2-APR-1998,
STERLINTEA,EQ,17.5,17.5,17.15,17.15,17.15,18,300,5215,2-APR-1998,
STERLITE,EQ,308.45,320.9,305,316.65,313.6,294.35,966300,303762170,2-APR-1998,
STERTOOLS,EQ,18,18,17.5,17.5,17.5,17.9,1200,21130,2-APR-1998,
SUASHDIMON,EQ,24.45,25,24.45,25,25,24,1200,29445,2-APR-1998,
SUBHASPROJ,EQ,60,60.5,60,60,60,56,700,42050,2-APR-1998,
SUBROS,EQ,78.9,81,78,78,78,78,2000,156850,2-APR-1998,
SUDARSCHEM,EQ,46,47,46,46,46,46.85,700,32292.5,2-APR-1998,
SUDITIND,EQ,7,7,7,7,7,7,200,1400,2-APR-1998,
SULZER,EQ,150,150,145,145,145,147.5,300,44500,2-APR-1998,
SUMANMOTEL,EQ,12.35,12.35,11.55,11.55,11.55,12.4,600,7075,2-APR-1998,
SUNDARMFIN,EQ,224,230,224,227.5,230,225,300,67550,2-APR-1998,
SUNDRMBRAK,EQ,100,110,100,110,110,107,150,15745,2-APR-1998,
SUNDRMCLAY,EQ,110,111.95,110,111,111,109.5,1600,177952.5,2-APR-1998,
SUNDRMFAST,EQ,355,358.5,351,357.1,356,346,400,142025,2-APR-1998,
SUNFLAGIRN,EQ,4.2,4.85,4.2,4.75,4.75,4.6,19000,88750,2-APR-1998,
SUNPHARMA,EQ,255,255,247,247,247,250.8,1300,324250,2-APR-1998,
SUNSTARLUB,EQ,7,7,7,7,7,7.1,200,1400,2-APR-1998,
SUPERFORGE,EQ,5.15,5.2,4.7,4.7,4.7,4.6,7100,34475,2-APR-1998,
SUPERSALES,EQ,27,28.7,27,28,28,27.75,500,13895,2-APR-1998,
SUPERSPIN,EQ,46,49.5,46,49.5,49.5,45,450,21925,2-APR-1998,
SUPPETRO,EQ,7.65,7.75,7.65,7.7,7.7,7.9,2900,22415,2-APR-1998,
SUPREMEIND,EQ,196.95,198,191,191.1,191,194.5,2950,571082.5,2-APR-1998,
SURAJDIAMN,EQ,9.9,10.1,9.55,9.6,9.65,9.8,9400,92530,2-APR-1998,
SURATELEC,EQ,104,104,101,101,101,102,250,25575,2-APR-1998,
SURYAGROIL,EQ,2.5,2.5,2.5,2.5,2.5,2.5,400,1000,2-APR-1998,
SURYAROSNI,EQ,19.5,20,19.5,20,20,20.3,200,3950,2-APR-1998,
SURYCOTMIL,EQ,10,10,10,10,10,10,7000,70000,2-APR-1998,
SURYVANSPG,EQ,17.1,17.1,16.5,16.5,16.5,17.2,600,9960,2-APR-1998,
SWARAJENG,EQ,488,488,488,488,488,485,200,97600,2-APR-1998,
SWARAJMAZD,EQ,31.1,32.45,31.05,31.5,31.5,31.95,2700,85832.5,2-APR-1998,
SWIL,EQ,25,26.35,25,25.65,26.35,23.95,400,10135,2-APR-1998,
SYNTHCHEM,EQ,15.5,15.5,15,15.45,15.45,15.7,400,6140,2-APR-1998,
TANEJAERO,EQ,5.5,6.2,5.25,5.3,5.3,5.5,4200,23820,2-APR-1998,
