SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
NIF10GETF," EQ"," 04-Mar-2025"," 24.89"," 24.89"," 24.89"," 24.79"," 24.81"," 24.81"," 24.82"," 838"," 0.21"," 11"," 745"," 88.90"
NIF5GETF," EQ"," 04-Mar-2025"," 60.17"," 60.16"," 61.99"," 59.96"," 61.99"," 60.21"," 60.15"," 527"," 0.32"," 9"," 443"," 84.06"
NIFITETF," EQ"," 04-Mar-2025"," 385.51"," 393.25"," 393.25"," 377.45"," 391.79"," 381.63"," 381.46"," 2746"," 10.47"," 95"," 2471"," 89.99"
NIFMID150," EQ"," 04-Mar-2025"," 178.79"," 177.47"," 180.00"," 177.47"," 179.00"," 179.05"," 179.24"," 1172"," 2.10"," 53"," 1152"," 98.29"
NIFTY1," EQ"," 04-Mar-2025"," 241.70"," 240.94"," 241.46"," 239.01"," 241.12"," 241.16"," 240.81"," 52216"," 125.74"," 1302"," 31614"," 60.54"
NIFTY100EW," EQ"," 04-Mar-2025"," 28.01"," 28.70"," 30.25"," 28.02"," 28.29"," 28.29"," 28.48"," 8345"," 2.38"," 72"," 7426"," 88.99"
NIFTY50ADD," EQ"," 04-Mar-2025"," 229.38"," 226.95"," 229.18"," 226.95"," 228.81"," 228.85"," 228.67"," 15466"," 35.37"," 469"," 12158"," 78.61"
NIFTYBEES," EQ"," 04-Mar-2025"," 248.05"," 247.74"," 247.78"," 246.08"," 247.49"," 247.49"," 247.33"," 7023813"," 17371.68"," 56918"," 5767581"," 82.11"
NIFTYBETF," EQ"," 04-Mar-2025"," 224.14"," 224.14"," 224.14"," 221.85"," 223.78"," 223.09"," 222.69"," 3007"," 6.70"," 111"," 1731"," 57.57"
NIFTYETF," EQ"," 04-Mar-2025"," 236.29"," 237.59"," 237.60"," 235.00"," 235.70"," 236.16"," 235.59"," 283925"," 668.91"," 1594"," 156006"," 54.95"
NIFTYIETF," EQ"," 04-Mar-2025"," 246.73"," 254.15"," 254.15"," 244.06"," 246.22"," 246.33"," 246.06"," 667656"," 1642.83"," 5773"," 530561"," 79.47"
NIFTYQLITY," EQ"," 04-Mar-2025"," 18.77"," 18.77"," 18.77"," 18.51"," 18.69"," 18.66"," 18.64"," 136374"," 25.42"," 895"," 124937"," 91.61"
NIITLTD," EQ"," 04-Mar-2025"," 108.06"," 107.00"," 115.87"," 106.81"," 112.67"," 113.64"," 112.88"," 1280785"," 1445.71"," 13579"," 339839"," 26.53"
NIITMTS," EQ"," 04-Mar-2025"," 412.95"," 400.00"," 417.60"," 399.95"," 415.00"," 415.55"," 413.80"," 44983"," 186.14"," 4585"," 23830"," 52.98"
NILAINFRA," EQ"," 04-Mar-2025"," 8.66"," 8.59"," 8.99"," 8.37"," 8.64"," 8.63"," 8.76"," 492560"," 43.14"," 2137"," 203541"," 41.32"
NILASPACES," BE"," 04-Mar-2025"," 10.94"," 10.70"," 11.15"," 10.39"," 10.80"," 10.70"," 10.67"," 459730"," 49.04"," 848"," -"," -"
NILKAMAL," EQ"," 04-Mar-2025"," 1525.25"," 1540.05"," 1546.45"," 1494.05"," 1512.45"," 1517.30"," 1519.72"," 3677"," 55.88"," 1319"," 2274"," 61.84"
NINSYS," EQ"," 04-Mar-2025"," 433.40"," 433.40"," 449.35"," 425.15"," 432.05"," 437.30"," 439.49"," 3244"," 14.26"," 602"," 1698"," 52.34"
NIPPOBATRY," EQ"," 04-Mar-2025"," 438.35"," 439.05"," 444.40"," 416.05"," 420.05"," 422.70"," 428.07"," 5464"," 23.39"," 633"," 3217"," 58.88"
NIRAJ," EQ"," 04-Mar-2025"," 49.05"," 49.05"," 51.78"," 49.05"," 50.67"," 50.02"," 50.65"," 29670"," 15.03"," 937"," 11728"," 39.53"
NIRMAN," SM"," 04-Mar-2025"," 243.70"," 233.05"," 250.00"," 233.00"," 236.00"," 237.60"," 238.50"," 54600"," 130.22"," 130"," 30300"," 55.49"
NITCO," BE"," 04-Mar-2025"," 99.92"," 94.92"," 99.50"," 94.92"," 98.40"," 96.70"," 97.50"," 992338"," 967.54"," 434"," -"," -"
NITINSPIN," EQ"," 04-Mar-2025"," 302.45"," 299.00"," 313.65"," 291.00"," 309.00"," 306.75"," 305.19"," 201126"," 613.82"," 6203"," 58488"," 29.08"
NITIRAJ," EQ"," 04-Mar-2025"," 296.65"," 298.10"," 314.95"," 291.60"," 301.10"," 307.65"," 305.69"," 82716"," 252.85"," 2999"," 24907"," 30.11"
NIVABUPA," EQ"," 04-Mar-2025"," 71.12"," 70.00"," 73.00"," 70.00"," 72.00"," 72.50"," 72.02"," 674997"," 486.15"," 8937"," 362147"," 53.65"
NKIND," BE"," 04-Mar-2025"," 57.19"," 56.91"," 56.91"," 56.63"," 56.63"," 56.63"," 56.87"," 58"," 0.03"," 3"," -"," -"
NLCINDIA," EQ"," 04-Mar-2025"," 204.32"," 202.49"," 230.90"," 200.50"," 223.63"," 226.53"," 221.44"," 8752305"," 19380.90"," 114422"," 952219"," 10.88"
NMDC," EQ"," 04-Mar-2025"," 63.06"," 62.60"," 63.63"," 61.14"," 62.17"," 62.27"," 62.39"," 23007590"," 14354.55"," 59065"," 6569181"," 28.55"
NMSTEEL," ST"," 04-Mar-2025"," 33.75"," 32.90"," 33.00"," 32.10"," 32.65"," 32.55"," 32.56"," 36800"," 11.98"," 23"," 32000"," 86.96"
NOCIL," EQ"," 04-Mar-2025"," 166.08"," 165.67"," 174.89"," 165.00"," 172.01"," 174.13"," 172.03"," 439696"," 756.41"," 16277"," 176355"," 40.11"
NOIDATOLL," BE"," 04-Mar-2025"," 3.97"," 3.89"," 3.89"," 3.89"," 3.89"," 3.89"," 3.89"," 50517"," 1.97"," 126"," -"," -"
NORBTEAEXP," BE"," 04-Mar-2025"," 47.14"," 48.08"," 48.08"," 48.08"," 48.08"," 48.08"," 48.08"," 660"," 0.32"," 11"," -"," -"
NORTHARC," EQ"," 04-Mar-2025"," 167.54"," 165.00"," 169.37"," 163.50"," 166.12"," 166.23"," 167.00"," 203761"," 340.29"," 8837"," 94864"," 46.56"
NOVAAGRI," EQ"," 04-Mar-2025"," 46.50"," 45.80"," 48.78"," 45.80"," 46.50"," 46.66"," 47.14"," 242910"," 114.50"," 3124"," 96150"," 39.58"
NPBET," EQ"," 04-Mar-2025"," 247.38"," 250.48"," 250.48"," 247.40"," 248.59"," 247.44"," 248.06"," 308"," 0.76"," 29"," 232"," 75.32"
NPST," SM"," 04-Mar-2025"," 1652.00"," 1645.00"," 1700.00"," 1575.00"," 1580.00"," 1594.60"," 1620.50"," 17900"," 290.07"," 212"," 14800"," 82.68"
NRAIL," EQ"," 04-Mar-2025"," 233.65"," 225.00"," 234.00"," 220.20"," 222.00"," 222.75"," 224.54"," 82833"," 185.99"," 3011"," 60330"," 72.83"
NRBBEARING," EQ"," 04-Mar-2025"," 196.81"," 195.00"," 206.47"," 193.05"," 203.03"," 203.11"," 201.51"," 197409"," 397.80"," 4333"," 123708"," 62.67"
