SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
TINPLATE,EQ,6.3,6.3,6.1,6.1,6.1,5.75,1000,6120,22-JUL-1998,
TIRUMALCHM,EQ,62.2,62.25,62.2,62.25,62.25,57.6,3700,230322.5,22-JUL-1998,
TISCO,AE,123,123,122.9,122.9,122.9,123.5,1200,147550,22-JUL-1998,
TISCO,EQ,123.5,125,122.5,122.9,123.1,122.3,546200,67345472.5,22-JUL-1998,
TITAN,EQ,43,43,40.55,40.8,40.8,42.5,13300,548125,22-JUL-1998,
TITANOCOMP,EQ,30,30,29,29.25,29.45,29.2,2900,84895,22-JUL-1998,
TNPETRO,EQ,17.4,17.45,17.05,17.2,17.25,17.5,7600,131305,22-JUL-1998,
TNPL,EQ,13.95,14.5,13.5,14.45,14.5,13.05,31300,442100,22-JUL-1998,
TNTELE,EQ,4.25,4.25,4.1,4.2,4.1,4,700,2945,22-JUL-1998,
TOLANIBULK,EQ,5.5,5.5,5,5,5,5.75,2800,14050,22-JUL-1998,
TORNTPHARM,EQ,76.9,76.9,74.35,74.35,74.35,73.8,1800,135650,22-JUL-1998,
TORRENGUJ,EQ,4.15,4.7,4.15,4.7,4.7,4.15,300,1300,22-JUL-1998,
TORRENGUJ,N1,44,44.05,43.6,43.6,43.65,43.25,3000,131405,22-JUL-1998,
TORRENTCAB,EQ,7.5,7.5,7.5,7.5,7.5,8,500,3750,22-JUL-1998,
TRANSCORP,EQ,16.6,16.6,16,16,16,16.5,200,3285,22-JUL-1998,
TRANSPEK,EQ,30.55,30.55,30,30,30,30.3,1100,33232.5,22-JUL-1998,
TRIVENGIND,EQ,46,46,44.75,45,45,46,5400,243405,22-JUL-1998,
TTGIND,EQ,2.15,2.15,1.75,2,2,2.5,1500,3085,22-JUL-1998,
TTKPHARMA,EQ,23,23,23,23,23,23,100,2300,22-JUL-1998,
TTKPRESTIG,EQ,29.65,29.7,28,28,28,28,300,8735,22-JUL-1998,
TUBEINVEST,EQ,41.8,41.8,39.1,40,40,38.7,11300,461905,22-JUL-1998,
TUTICORALK,EQ,9.6,9.6,9.6,9.6,9.6,9.75,100,960,22-JUL-1998,
TVSELEC,EQ,23.5,23.5,22.5,23.25,23.25,22.5,13100,302770,22-JUL-1998,
TVSSUZUKI,EQ,465,472,461,466.8,468,438.6,18900,8800590,22-JUL-1998,
UBENGG,EQ,8,8,7.65,7.65,7.65,8,600,4765,22-JUL-1998,
UCALFUEL,EQ,69,72.45,68.75,69.8,70,69.75,10900,765650,22-JUL-1998,
