SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
KANAKSTEEL,EQ,1.5,1.5,1.5,1.5,0.0,1.5,100,150,26-AUG-1996,
KANELOIL,EQ,8.2,8.3,7.8,8.15,0.0,7.5,1800,14525,26-AUG-1996,
KANORICHEM,EQ,51,51,50,50,0.0,50,700,35500,26-AUG-1996,
KARURVYSYA,EQ,209.75,211.9,208.75,210,0.0,207.15,3550,746125,26-AUG-1996,
KECINTL,EQ,103,104,101,103.6,0.0,102,7900,814657.5,26-AUG-1996,
KEDIADIST,EQ,21.75,21.9,21.5,21.5,0.0,19.8,3400,74095,26-AUG-1996,
KELVINATOR,EQ,51.95,51.95,50,50.5,0.0,50.1,2900,147550,26-AUG-1996,
KESARENTER,EQ,23,23,23,23,0.0,24.25,100,2300,26-AUG-1996,
KESORAMIND,EQ,49,50.5,48.7,49.1,0.0,48.6,6500,319590,26-AUG-1996,
KGDENIM,EQ,10.1,10.3,10.1,10.3,0.0,10.3,500,5100,26-AUG-1996,
KGKHOSLA,EQ,13.4,13.4,12.5,12.5,0.0,13,3400,44720,26-AUG-1996,
KHAIHOSTOM,EQ,4,4.05,4,4.05,0.0,3.7,1500,6020,26-AUG-1996,
KILBUNENGG,EQ,21.6,21.6,21.5,21.5,0.0,21,200,4310,26-AUG-1996,
KINETICENG,EQ,280,280,280,280,0.0,277,50,14000,26-AUG-1996,
KINGSINTL,EQ,2.75,2.75,2.75,2.75,0.0,2.75,300,825,26-AUG-1996,
KINHONDA,EQ,103,113.9,103,111.9,0.0,112.35,2100,232190,26-AUG-1996,
KIRANOVER,EQ,4.55,4.9,4.55,4.9,0.0,4.8,700,3290,26-AUG-1996,
KIRELECTRI,EQ,50,50.55,50,50.55,0.0,50,200,10055,26-AUG-1996,
KIRLOSELEC,EQ,13.8,14.95,13.8,14.2,0.0,15.4,900,12620,26-AUG-1996,
KIRLOSFERR,EQ,10.25,10.45,9.7,10.1,0.0,10.1,7100,72000,26-AUG-1996,
KIRLOSKCUM,EQ,385,389,385,389,0.0,383,650,250650,26-AUG-1996,
KIRLOSPNEU,EQ,27.1,28,27.05,27.65,0.0,27.5,1300,36110,26-AUG-1996,
KITPLYIND,EQ,22,22,22,22,0.0,22.25,500,11000,26-AUG-1996,
KITSTEEL,EQ,8.95,9.25,8.95,9.1,0.0,8.9,2300,20805,26-AUG-1996,
KJINTL,EQ,11.7,12.3,11.4,12.05,0.0,12.5,1400,16535,26-AUG-1996,
KNDENGTECH,EQ,40,40,40,40,0.0,42,100,4000,26-AUG-1996,
KOPRAN,EQ,265,265,265,265,0.0,265,100,26500,26-AUG-1996,
KOTAKMAH,EQ,89.25,90.25,89,89.95,0.0,88.3,25700,2303710,26-AUG-1996,
KOTAKMAH,N1,38,38,38,38,0.0,38.05,100,3800,26-AUG-1996,
KOTAKMAH,N3,2400,2400,2400,2400,0.0,2401,10,24000,26-AUG-1996,
KOTHARINDL,EQ,13.5,13.5,13.4,13.4,0.0,13.25,500,6745,26-AUG-1996,
