SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
N100,EQ,815.65,839.4,792,803.98,804,791.92,29388,23612146.54,13-Jul-20,1916,INF247L01031
NABARD,N2,1255,1262.9,1255,1256.89,1257,1265,1758,2209853.8,13-Jul-20,55,INE261F07032
NACLIND,EQ,39.05,39.85,38.5,39.2,39.2,39.05,46602,1812636.9,13-Jul-20,386,INE295D01020
NAGAFERT,BE,5.75,5.75,5.35,5.35,5.5,5.6,134506,726891.5,13-Jul-20,335,INE454M01024
NAGREEKCAP,EQ,5.5,5.5,5.5,5.5,5.5,5.25,1369,7529.5,13-Jul-20,5,INE245I01016
NAGREEKEXP,EQ,12.7,13.5,12.7,13.1,13.4,13.1,3047,40322.55,13-Jul-20,25,INE123B01028
NAHARCAP,EQ,66.25,69.45,66.25,66.95,67.65,67.6,9344,633732.05,13-Jul-20,99,INE049I01012
NAHARINDUS,EQ,26,29.8,25.15,28,27.15,25.75,13477,374475.65,13-Jul-20,198,INE289A01011
NAHARPOLY,EQ,57.05,60.3,57,60.2,60,57.45,78867,4725304,13-Jul-20,487,INE308A01027
NAHARSPING,EQ,35.5,35.5,33.25,33.75,33.55,35.2,16035,546444.15,13-Jul-20,319,INE290A01027
NAM-INDIA,EQ,298,298.4,284.2,286.55,286.2,290.25,806644,232132193.6,13-Jul-20,13519,INE298J01013
NATCOPHARM,EQ,681.9,685,673.1,679.05,675.35,679.8,241228,163710319.5,13-Jul-20,14174,INE987B01026
NATHBIOGEN,EQ,328,332.75,322.1,330.6,332,327.9,6867,2258208.9,13-Jul-20,356,INE448G01010
NATIONALUM,EQ,36.95,37.15,35.3,35.7,35.85,36.4,16016795,576581016.5,13-Jul-20,39574,INE139A01034
NATNLSTEEL,BE,3.45,3.45,3.45,3.45,3.45,3.6,2875,9918.75,13-Jul-20,7,INE088B01015
NAUKRI,EQ,2910,2925,2822.75,2834.2,2839.85,2872.4,160296,458887182.2,13-Jul-20,14568,INE663F01024
NAVINFLUOR,EQ,1728,1734.5,1665.1,1669.95,1669,1718.25,103481,175241518.4,13-Jul-20,8746,INE048G01026
NAVKARCORP,EQ,29.7,32.25,29.5,30.1,29.85,29,4005189,123574395.4,13-Jul-20,14663,INE278M01019
NAVNETEDUL,EQ,76.3,77.45,75.5,76.05,76.3,75.95,52977,4046267.5,13-Jul-20,1036,INE060A01024
NBCC,EQ,26.1,26.35,25.05,25.15,25.2,25.9,9441069,240808668.1,13-Jul-20,28313,INE095N01031
NBIFIN,EQ,1550,1550,1550,1550,1550,1530.25,4,6200,13-Jul-20,1,INE365I01020
NBVENTURES,EQ,51.45,51.45,49,50.2,49.9,51,317905,15942096.15,13-Jul-20,3330,INE725A01022
NCC,EQ,33.6,34.1,32.75,32.9,32.8,33.55,17865363,593975546.3,13-Jul-20,24068,INE868B01028
NCLIND,EQ,78.5,79.9,77.05,77.85,78.2,78.15,185619,14491682.5,13-Jul-20,1557,INE732C01016
NDGL,EQ,592.95,592.95,551,571,571,569.95,90,51660.9,13-Jul-20,18,INE756C01015
NDL,EQ,21.9,22.05,21.05,21.3,21.3,21.35,40917,883534.45,13-Jul-20,265,INE875G01030
NDTV,BE,36.6,37,36.05,36.2,36.15,36.6,14133,517747.65,13-Jul-20,113,INE155G01029
NECCLTD,EQ,16.1,16.1,15.9,16,16,15.9,672202,10744822.95,13-Jul-20,420,INE553C01016
NECLIFE,EQ,22.9,23.15,21.85,22,22,22.65,474369,10644778.6,13-Jul-20,1917,INE023H01027
NELCAST,EQ,51,51.25,48.8,49.05,49.05,50.8,158684,7884705.95,13-Jul-20,1633,INE189I01024
NELCO,EQ,209.25,218,209.25,210.65,210,207.3,162364,34643172.85,13-Jul-20,3905,INE045B01015
NEOGEN,EQ,568.95,580,545,549.85,554,559.2,38909,21892941.1,13-Jul-20,2864,INE136S01016
NESCO,EQ,435,440,430.4,437.2,438,431.55,50467,21948008.3,13-Jul-20,2741,INE317F01035
NESTLEIND,EQ,16885,17098,16875.05,16956.85,16950,16833.1,114029,1936224540,13-Jul-20,21470,INE239A01016
NETFCONSUM,EQ,52.99,53.2,52.31,52.99,52.98,52.3,774,41009.51,13-Jul-20,35,INF204KA1LD7
NETFDIVOPP,EQ,27.66,27.66,27.03,27.18,27.18,27.02,77,2096.81,13-Jul-20,8,INF204KA1MS3
NETFIT,EQ,16,16.33,15.76,15.91,15.92,15.59,20495,326532.99,13-Jul-20,66,INF204KB15V2
NETFLTGILT,EQ,22,22.07,21.95,22.04,22.04,22.04,39575,871122.1,13-Jul-20,119,INF204KB1882
NETFMID150,EQ,58.95,59,57.51,58.19,58.21,58.57,108957,6335897.3,13-Jul-20,422,INF204KB1V68
NETFNIF100,EQ,115,118.88,110.31,112.12,112,111.04,1333,149909.14,13-Jul-20,27,INF204K014N5
NETFNV20,EQ,45,55.95,45,55.6,55.75,54.35,54399,3016636.59,13-Jul-20,77,INF204KB18I3
NETWORK18,EQ,42.1,42.75,41.45,42,42,41.3,2088385,88090972.85,13-Jul-20,8074,INE870H01013
NEULANDLAB,EQ,598,687,597.95,666.8,666,585.8,616837,402868702.7,13-Jul-20,17822,INE794A01010
NEWGEN,EQ,169.5,177.7,167.35,169.2,170,166.45,53544,9196648.65,13-Jul-20,1555,INE619B01017
NEXTMEDIA,BE,5.6,5.6,5.35,5.45,5.35,5.6,1382,7617.25,13-Jul-20,16,INE747B01016
NFL,EQ,36.55,36.9,35.6,35.7,35.75,36.2,1150605,41604125.8,13-Jul-20,3719,INE870D01012
NH,EQ,290,292.15,280.6,282.45,282,287.95,85397,24121328.55,13-Jul-20,3881,INE410P01011
NHAI,N1,1124.9,1124.9,1119.1,1121.8,1123.49,1124.18,1126,1264014.99,13-Jul-20,19,INE906B07CA1
NHAI,N2,1271.2,1291.85,1271.2,1285,1285,1292.33,3258,4193162.22,13-Jul-20,36,INE906B07CB9
NHAI,N6,1328.99,1329,1318,1318,1318,1316.98,377,500654.75,13-Jul-20,5,INE906B07DF8
NHAI,N8,1140,1150,1140,1150,1150,1136,45,51650,13-Jul-20,3,INE906B07EH2
NHAI,NA,1270.1,1270.1,1261.06,1263.72,1262.23,1274.85,2201,2783045.27,13-Jul-20,79,INE906B07EJ8
NHAI,ND,1303.85,1303.85,1303.85,1303.85,1303.85,1303.7,1000,1303850,13-Jul-20,1,INE906B07EO8
NHAI,NE,1317.5,1318.99,1310,1310,1310,1308.5,77,101109.76,13-Jul-20,9,INE906B07EP5
NHBTF2014,N4,6045,6045,6045,6045,6045,6050,15,90675,13-Jul-20,1,INE557F07116
NHBTF2014,N6,7359,7359,7350,7350,7350,7358.88,10,73536,13-Jul-20,3,INE557F07132
NHBTF2023,N5,6395,6395,6395,6395,6395,6395,10,63950,13-Jul-20,1,INE557F07173
NHBTF2023,N6,6700,6705,6700,6700,6700,6720,383,2566800,13-Jul-20,21,INE557F07181
NHPC,EQ,20.35,20.5,20.2,20.3,20.3,20.25,2672625,54272289.55,13-Jul-20,9062,INE848E01016
