SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
JAIBALAJI,BE,33.55,34.95,33.55,34.25,34.35,34.9,1416,48489.85,05-SEP-2012,36,INE091G01018,
JAICORPLTD,EQ,53.5,55.9,53.1,54.2,54.1,53.85,1695770,92922606.65,05-SEP-2012,14514,INE070D01027,
JAIHINDPRO,EQ,107.9,107.9,101,102.15,101.35,102.25,29857,3130422.9,05-SEP-2012,68,INE343D01010,
JAINSTUDIO,BE,5.9,5.9,5.9,5.9,5.9,5.8,520,3068,05-SEP-2012,2,INE486B01011,
JAMNAAUTO,EQ,115,115.2,115,115,115,123.25,375,43160.75,05-SEP-2012,13,INE039C01016,
JAYAGROGN,EQ,123,123,119.6,120.05,120.05,122.1,1968,237916.95,05-SEP-2012,77,INE785A01026,
JAYBARMARU,EQ,52,52.3,51.05,52,52,51.05,1002,51649.65,05-SEP-2012,33,INE571B01028,
JAYNECOIND,EQ,11.3,11.5,10.55,10.85,10.9,11.5,72612,782469.5,05-SEP-2012,568,INE854B01010,
JAYSREETEA,EQ,83.2,88,82.55,84.7,84.3,83.25,222799,19169149.55,05-SEP-2012,2952,INE364A01020,
JBCHEPHARM,EQ,68.55,69.7,67.15,67.6,67.55,68.2,54272,3715332.25,05-SEP-2012,1011,INE572A01028,
JBFIND,EQ,139.15,140.1,138.05,138.8,139.9,139.55,34405,4789147.1,05-SEP-2012,668,INE187A01017,
JBMA,EQ,63,64,62.3,64,64,63.7,1310,82911.3,05-SEP-2012,15,INE927D01010,
JCTEL,EQ,0.65,0.65,0.6,0.6,0.6,0.6,5120,3327,05-SEP-2012,4,INE264B01020,
JDORGOCHEM,EQ,4.1,4.1,4.1,4.1,4.1,3.95,10,41,05-SEP-2012,1,INE263B01022,
JENSONICOL,EQ,3.9,3.95,3.75,3.8,3.8,3.8,41336,158355.2,05-SEP-2012,75,INE819B01021,
JETAIRWAYS,EQ,337.7,343.6,328.5,329.85,328.75,337.7,1616324,544861613.65,05-SEP-2012,31060,INE802G01018,
JHS,EQ,31.6,31.6,30.35,30.45,30.55,30.9,29033,891831.7,05-SEP-2012,279,INE544H01014,
JIKIND,EQ,3.9,4.15,3.9,4.15,4.15,4,308,1257.55,05-SEP-2012,11,INE026B01049,
JINDALPHOT,EQ,130.6,133.85,128.15,130.6,129.6,130.55,31314,4110970.3,05-SEP-2012,1158,INE796G01012,
JINDALPOLY,EQ,169.9,177.8,168.3,176.7,176.35,170.95,205182,35994528.6,05-SEP-2012,4749,INE197D01010,
JINDALSAW,EQ,116.3,116.5,115.05,115.4,115.1,116.3,12431,1436690.55,05-SEP-2012,355,INE324A01024,
JINDALSTEL,EQ,347,351.8,331.5,335.8,332.4,352.95,4323150,1470410558.75,05-SEP-2012,59387,INE749A01030,
JINDALSWHL,EQ,567.95,578,555,558.45,559.45,575.85,60574,34228352.95,05-SEP-2012,2943,INE824G01012,
JINDCOT,EQ,42.1,43.2,41,41.55,41.4,42.7,10638,445854.05,05-SEP-2012,230,INE904J01016,
JINDRILL,EQ,258.95,259.05,250,252.9,253.75,250.4,1468,373406.75,05-SEP-2012,176,INE742C01031,
JINDWORLD,EQ,80,81.05,80,80.9,80.15,86.35,48,3872.75,05-SEP-2012,12,INE247D01013,
JISLDVREQS,EQ,33.1,34.2,32.5,32.8,33,33,240646,8009225.55,05-SEP-2012,1709,IN9175A01010,
JISLJALEQS,EQ,63.75,65.5,60.5,61.75,61.55,64.2,11553517,729487977.55,05-SEP-2012,63787,INE175A01038,
JKCEMENT,EQ,204,209.5,204,206.25,206.6,206.6,36896,7650202.25,05-SEP-2012,1174,INE823G01014,
JKIL,EQ,187,200.7,186.55,197.3,197.85,191.55,15386,3019699.45,05-SEP-2012,392,INE576I01014,
JKLAKSHMI,EQ,92.3,97,91,95.5,95.55,94.65,112504,10633252.9,05-SEP-2012,1005,INE786A01032,
JKPAPER,EQ,35.3,35.95,35,35.1,35.05,34.85,134873,4779543.4,05-SEP-2012,885,INE789E01012,
JKTYRE,EQ,105.3,114,105.3,110.4,110.4,109.1,212319,23644358.55,05-SEP-2012,3547,INE573A01034,
JMCPROJECT,EQ,101.95,102,96.55,97.45,98,101.2,8111,802579.25,05-SEP-2012,237,INE890A01016,
JMFINANCIL,EQ,14.6,15.05,14.3,14.45,14.5,14.75,1543755,22648655.15,05-SEP-2012,4415,INE780C01023,
JMTAUTOLTD,EQ,55.5,55.5,50.65,54.55,54.65,51.8,1219,66324.45,05-SEP-2012,15,INE988E01010,
