SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
UNIVASTU,EQ,86.65,87.05,82.5,84.2,86.45,84.4,32922,2775917.75,29-APR-2022,418,INE562X01013,,19016,57.76
UNIVCABLES,EQ,166.85,167.5,159,160.4,161,165.3,13317,2174158.35,29-APR-2022,276,INE279A01012,,8778,65.92
UNIVPHOTO,EQ,467.2,493.5,467.2,478.6,480,482.8,889,424557.75,29-APR-2022,131,INE03V001013,,391,43.98
UPL,EQ,832,834,816.35,822.9,828,824.3,3236877,2671719292.4,29-APR-2022,54054,INE628A01036,,1899269,58.68
URAVI,SM,109.5,112,109.5,112,112,110,34800,3840600,29-APR-2022,2,INE568Z01015,,34800,100.00
URJA,EQ,15.7,17.1,15.1,17.05,17.1,15.55,4256220,70626031.1,29-APR-2022,8437,INE550C01020,,1669085,39.22
USHAMART,EQ,159,159.55,146.8,151.45,152.8,159.1,586785,90916238.45,29-APR-2022,6608,INE228A01035,,304997,51.98
UTIAMC,EQ,848.95,848.95,786,791.9,802,834.45,332243,268262655.95,29-APR-2022,20398,INE094J01016,,171620,51.65
UTIBANKETF,EQ,36.9,36.9,35.7,36.13,36.2,36.43,5487,200399.8,29-APR-2022,142,INF789F1AUV1,,2808,51.18
UTINEXT50,EQ,45.68,45.68,44.25,44.66,44.55,44.91,12058,541583.4,29-APR-2022,180,INF789F1AUW9,,4839,40.13
UTINIFTETF,EQ,1820,1836.75,1790.4,1808.64,1808.8,1819.95,3937,7162147.5,29-APR-2022,127,INF789FB1X41,,1379,35.03
UTISENSETF,EQ,614.9,614.9,600,601.73,600,603.61,1130,684469.32,29-APR-2022,72,INF789FB1X58,,979,86.64
UTISXN50,EQ,52.9,53.49,51.2,51.68,53.11,52.59,1660,87324.88,29-APR-2022,116,INF789F1AUU3,,898,54.10
UTTAMSTL,EQ,4.8,5,4.6,4.9,4.95,4.8,4749476,22844185.5,29-APR-2022,1884,INE699A01011,,3111662,65.52
UTTAMSUGAR,EQ,276.45,280,259.2,262.7,262.8,274.9,207176,56152259.5,29-APR-2022,5444,INE786F01031,,84189,40.64
V2RETAIL,EQ,158.9,161.9,151.2,152.95,151.25,155.1,18166,2809449.4,29-APR-2022,496,INE945H01013,,12452,68.55
VADILALIND,EQ,1608.8,1608.8,1551.05,1584.6,1591,1586.55,32223,50705913.65,29-APR-2022,1674,INE694D01016,,16097,49.96
VAIBHAVGBL,EQ,481,489,460,468,472,475,211033,101158651.55,29-APR-2022,14093,INE884A01027,,64259,30.45
VAISHALI,BE,93.8,94.5,90,90.7,92,90,76476,7085671.95,29-APR-2022,766,INE972X01014,,-,-
VAKRANGEE,EQ,36.65,37.2,34.5,34.9,34.95,36.65,3105995,111251608.2,29-APR-2022,7689,INE051B01021,,1515119,48.78
VALIANTORG,EQ,882.2,914.95,876,889.95,894.65,880.05,34279,30718704.15,29-APR-2022,3931,INE565V01010,,10146,29.60
VARDHACRLC,EQ,64,64,60.7,61.25,61.45,63.1,97060,6017777.5,29-APR-2022,1046,INE116G01013,,58286,60.05
VARDMNPOLY,EQ,29.95,30.6,29,29.6,29.1,29.15,91727,2784246.5,29-APR-2022,550,INE835A01011,,56096,61.16
VARROC,EQ,427,493.85,427,444.45,447,411.55,11370923,5313495726.65,29-APR-2022,209996,INE665L01035,,3047003,26.80
VASCONEQ,EQ,28.5,29.25,27.55,28.2,28,28.25,940332,26701100.4,29-APR-2022,3829,INE893I01013,,317779,33.79
VASWANI,EQ,21.1,21.7,20.6,20.65,20.6,20.95,45481,954099.65,29-APR-2022,343,INE590L01019,,32219,70.84
VBL,EQ,1079.85,1153.95,1075.05,1083.55,1084.35,1059.6,3184803,3546621643.35,29-APR-2022,130556,INE200M01013,,602582,18.92
VCL,EQ,26.8,26.8,24.3,25.65,26.2,25.55,2041356,54297123.5,29-APR-2022,5841,INE098201028,,1255621,61.51
VEDL,EQ,414,419.7,406.1,408.35,409.4,411.65,18580213,7661312157.4,29-APR-2022,158540,INE205A01025,,7697616,41.43
VENKEYS,EQ,2190,2217.65,2123.05,2148.85,2149,2175.7,30463,66482565.25,29-APR-2022,5301,INE398A01010,,8627,28.32
VENUSREM,EQ,286,298.85,285.1,286.85,287,284.1,75633,21989141.65,29-APR-2022,7223,INE411B01019,,24354,32.20
