SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
FLAIR," EQ"," 30-Apr-2025"," 250.77"," 248.09"," 251.75"," 246.00"," 250.00"," 249.95"," 249.50"," 35539"," 88.67"," 2431"," 20812"," 58.56"
FLEXITUFF," BE"," 30-Apr-2025"," 35.88"," 35.16"," 35.16"," 35.16"," 35.16"," 35.16"," 35.16"," 11"," 0.00"," 3"," -"," -"
FLUOROCHEM," EQ"," 30-Apr-2025"," 3930.30"," 3912.00"," 3964.00"," 3809.30"," 3839.00"," 3892.70"," 3884.34"," 101805"," 3954.46"," 14116"," 48169"," 47.31"
FMCGIETF," EQ"," 30-Apr-2025"," 59.61"," 59.65"," 59.99"," 59.23"," 59.41"," 59.52"," 59.70"," 518594"," 309.61"," 10397"," 303545"," 58.53"
FMGOETZE," EQ"," 30-Apr-2025"," 338.00"," 338.00"," 338.60"," 330.05"," 330.10"," 331.30"," 332.71"," 35347"," 117.60"," 1726"," 18359"," 51.94"
FMNL," BE"," 30-Apr-2025"," 15.34"," 14.75"," 15.50"," 14.57"," 15.27"," 14.72"," 14.82"," 62775"," 9.30"," 139"," -"," -"
FOCE," SM"," 30-Apr-2025"," 1499.85"," 1560.00"," 1568.00"," 1558.00"," 1568.00"," 1567.80"," 1562.37"," 11900"," 185.92"," 34"," 11400"," 95.80"
FOCUS," EQ"," 30-Apr-2025"," 101.25"," 100.00"," 100.23"," 96.18"," 96.18"," 96.29"," 97.35"," 174256"," 169.63"," 1464"," 106602"," 61.18"
FONEBOX," SM"," 30-Apr-2025"," 95.50"," 94.50"," 94.50"," 94.50"," 94.50"," 94.50"," 94.50"," 1000"," 0.95"," 1"," 1000"," 100.00"
FOODSIN," EQ"," 30-Apr-2025"," 88.93"," 89.30"," 91.99"," 86.48"," 87.89"," 88.08"," 89.20"," 221504"," 197.59"," 3221"," 139705"," 63.07"
FORCAS," SM"," 30-Apr-2025"," 99.00"," 100.00"," 103.00"," 97.50"," 97.50"," 98.35"," 100.49"," 24000"," 24.12"," 15"," 12800"," 53.33"
FORCEMOT," EQ"," 30-Apr-2025"," 9026.00"," 9068.00"," 9068.00"," 8745.00"," 8900.00"," 8914.00"," 8956.15"," 52677"," 4717.83"," 13891"," 22198"," 42.14"
FORGEAUTO," SM"," 30-Apr-2025"," 79.65"," 77.95"," 78.00"," 77.90"," 78.00"," 78.00"," 77.96"," 12000"," 9.35"," 10"," 9600"," 80.00"
FORTIS," EQ"," 30-Apr-2025"," 667.20"," 667.20"," 701.00"," 663.25"," 680.15"," 685.55"," 690.03"," 4791505"," 33062.61"," 122534"," 2076249"," 43.33"
FOSECOIND," EQ"," 30-Apr-2025"," 3718.50"," 3748.00"," 3748.00"," 3650.00"," 3658.30"," 3664.70"," 3685.73"," 591"," 21.78"," 256"," 358"," 60.58"
FRESHARA," SM"," 30-Apr-2025"," 171.00"," 171.00"," 178.45"," 163.10"," 168.00"," 168.80"," 170.82"," 170400"," 291.08"," 103"," 102000"," 59.86"
FROG," ST"," 30-Apr-2025"," 255.20"," 250.50"," 255.00"," 245.15"," 245.15"," 246.10"," 250.90"," 15200"," 38.14"," 34"," 15200"," 100.00"
FSC," BZ"," 30-Apr-2025"," 2.14"," 2.22"," 2.22"," 2.05"," 2.19"," 2.19"," 2.17"," 36313"," 0.79"," 61"," -"," -"
FSL," EQ"," 30-Apr-2025"," 351.70"," 350.00"," 352.00"," 336.10"," 338.00"," 340.70"," 342.51"," 1667425"," 5711.02"," 37113"," 733726"," 44.00"
FUSION," EQ"," 30-Apr-2025"," 167.23"," 166.23"," 171.94"," 161.95"," 163.85"," 163.12"," 165.24"," 804388"," 1329.15"," 17923"," 379861"," 47.22"
GABRIEL," EQ"," 30-Apr-2025"," 549.35"," 549.40"," 559.35"," 538.00"," 539.35"," 541.50"," 546.81"," 182662"," 998.82"," 13667"," 105199"," 57.59"
GAEL," EQ"," 30-Apr-2025"," 121.82"," 122.40"," 123.39"," 117.10"," 117.66"," 118.34"," 120.04"," 701496"," 842.04"," 13965"," 333222"," 47.50"
GAIL," EQ"," 30-Apr-2025"," 189.60"," 189.15"," 192.30"," 187.41"," 188.04"," 189.09"," 190.09"," 11049144"," 21003.75"," 51595"," 6023550"," 54.52"
GAJANAND," ST"," 30-Apr-2025"," 13.45"," 13.00"," 13.00"," 12.80"," 12.80"," 12.80"," 12.87"," 9000"," 1.16"," 3"," 9000"," 100.00"
GALAPREC," EQ"," 30-Apr-2025"," 842.85"," 830.05"," 848.00"," 810.20"," 812.00"," 818.15"," 830.67"," 30602"," 254.20"," 3523"," 13922"," 45.49"
GALAXYSURF," EQ"," 30-Apr-2025"," 2123.10"," 2125.00"," 2125.00"," 2065.00"," 2072.80"," 2071.80"," 2085.32"," 12570"," 262.12"," 4049"," 6998"," 55.67"
GALLANTT," EQ"," 30-Apr-2025"," 443.20"," 440.00"," 444.60"," 432.60"," 436.00"," 436.65"," 437.06"," 86125"," 376.42"," 5469"," 37610"," 43.67"
GANDHAR," EQ"," 30-Apr-2025"," 149.45"," 149.45"," 149.45"," 143.33"," 144.10"," 145.39"," 147.04"," 132049"," 194.17"," 5380"," 65435"," 49.55"
GANDHITUBE," EQ"," 30-Apr-2025"," 666.70"," 660.55"," 667.10"," 651.10"," 654.75"," 653.65"," 655.20"," 3236"," 21.20"," 336"," 2240"," 69.22"
GANECOS," EQ"," 30-Apr-2025"," 1501.10"," 1519.00"," 1527.90"," 1431.00"," 1442.80"," 1444.90"," 1467.12"," 72566"," 1064.63"," 14242"," 35793"," 49.32"
GANESHBE," EQ"," 30-Apr-2025"," 121.79"," 120.54"," 122.89"," 117.96"," 122.49"," 118.95"," 119.32"," 28049"," 33.47"," 1494"," 14067"," 50.15"
GANESHHOUC," EQ"," 30-Apr-2025"," 1080.00"," 1080.20"," 1109.00"," 1061.20"," 1081.00"," 1089.80"," 1088.24"," 93725"," 1019.95"," 11425"," 49077"," 52.36"
GANESHIN," ST"," 30-Apr-2025"," 194.65"," 192.00"," 202.00"," 191.50"," 196.10"," 197.45"," 198.15"," 275200"," 545.31"," 178"," 252000"," 91.57"
GANGAFORGE," EQ"," 30-Apr-2025"," 5.19"," 5.05"," 5.37"," 5.03"," 5.35"," 5.32"," 5.30"," 2513623"," 133.33"," 928"," 993631"," 39.53"
GANGESSECU," EQ"," 30-Apr-2025"," 148.98"," 150.50"," 152.70"," 142.50"," 148.00"," 147.20"," 148.75"," 2077"," 3.09"," 395"," 792"," 38.13"
GARFIBRES," EQ"," 30-Apr-2025"," 853.40"," 853.10"," 872.00"," 837.60"," 857.00"," 861.80"," 859.28"," 100508"," 863.65"," 15191"," 58791"," 58.49"
GARUDA," EQ"," 30-Apr-2025"," 99.23"," 99.97"," 100.79"," 98.36"," 98.80"," 99.16"," 99.59"," 454907"," 453.03"," 5094"," 238091"," 52.34"
GATECH," EQ"," 30-Apr-2025"," 0.68"," 0.68"," 0.70"," 0.67"," 0.69"," 0.68"," 0.69"," 2133027"," 14.65"," 1137"," 1188161"," 55.70"
GATECHDVR," EQ"," 30-Apr-2025"," 0.86"," 0.85"," 0.88"," 0.84"," 0.88"," 0.86"," 0.86"," 175035"," 1.50"," 203"," 158439"," 90.52"
GATEWAY," EQ"," 30-Apr-2025"," 61.63"," 61.90"," 62.23"," 59.50"," 59.64"," 59.80"," 60.16"," 1215402"," 731.24"," 20791"," 688980"," 56.69"
GAYAHWS," BE"," 30-Apr-2025"," 1.12"," 1.12"," 1.12"," 1.11"," 1.11"," 1.11"," 1.12"," 37455"," 0.42"," 108"," -"," -"
GCHOTELS," SM"," 30-Apr-2025"," 151.60"," 150.15"," 158.25"," 150.15"," 154.55"," 155.10"," 155.25"," 154800"," 240.33"," 103"," 109200"," 70.54"
GEECEE," EQ"," 30-Apr-2025"," 369.85"," 372.95"," 374.70"," 365.20"," 367.90"," 366.55"," 368.81"," 4446"," 16.40"," 309"," 3653"," 82.16"
GEEKAYWIRE," EQ"," 30-Apr-2025"," 74.12"," 74.99"," 74.99"," 71.90"," 72.00"," 72.05"," 72.81"," 78271"," 56.99"," 1149"," 58161"," 74.31"
GENCON," EQ"," 30-Apr-2025"," 32.55"," 32.72"," 33.51"," 32.05"," 32.20"," 32.27"," 32.58"," 69128"," 22.52"," 615"," 46764"," 67.65"
GENESYS," EQ"," 30-Apr-2025"," 660.15"," 660.00"," 688.20"," 654.10"," 654.10"," 656.10"," 672.24"," 195001"," 1310.87"," 17217"," 76698"," 39.33"
GENSOL," BE"," 30-Apr-2025"," 81.36"," 77.29"," 77.29"," 77.29"," 77.29"," 77.29"," 77.29"," 43266"," 33.44"," 1757"," -"," -"
GENUSPAPER," EQ"," 30-Apr-2025"," 18.48"," 18.40"," 18.77"," 17.95"," 18.00"," 18.04"," 18.27"," 178912"," 32.69"," 751"," 105453"," 58.94"
