SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
INFINITE,EQ,86.9,87.5,86,87,87.1,85.25,44396,3854733.3,26-JUL-2013,288,INE486J01014,
INFODRIVE,EQ,3.1,3.3,3.05,3.15,3.2,3.2,65007,205802.7,26-JUL-2013,102,INE804D01011,
INFOTECENT,EQ,180.5,180.5,175.45,177,175.5,181.1,5281,940097.7,26-JUL-2013,194,INE136B01020,
INFRABEES,EQ,215,215,208.5,212.66,214,210.78,742,155389.9,26-JUL-2013,15,INF732E01268,
INFRATEL,EQ,149,153,148,150.1,150.5,149.1,33259,4977954.55,26-JUL-2013,2799,INE121J01017,
INFY,EQ,2930,2953,2902.6,2913.3,2910,2915.3,862455,2527489074.45,26-JUL-2013,91235,INE009A01021,
INGERRAND,EQ,363.45,365,357.15,359.75,358.1,359.5,744,267824.2,26-JUL-2013,62,INE177A01018,
INGVYSYABK,EQ,544.2,556,544.2,548.95,548.9,548.2,75642,41700979.3,26-JUL-2013,1792,INE166A01011,
INNOIND,EQ,48.35,48.35,44,44.5,44.5,44.55,1956,86850.6,26-JUL-2013,111,INE549I01011,
INOXLEISUR,EQ,56.05,57,54.5,55.25,56.05,55.55,30336,1685698.85,26-JUL-2013,313,INE312H01016,
INSECTICID,EQ,371,394.35,370,375.65,370.05,378.75,1501,565058.65,26-JUL-2013,109,INE070I01018,
INVENTURE,EQ,5.55,5.95,5.55,5.95,5.95,5.65,1733,10144.7,26-JUL-2013,23,INE878H01016,
IOB,EQ,45.05,46.15,44.2,44.9,45.1,45.5,1188403,53454372.95,26-JUL-2013,7870,INE565A01014,
IOC,EQ,220,224.5,220,223.35,222.75,220.25,145899,32598480.6,26-JUL-2013,2993,INE242A01010,
IPCALAB,EQ,659,666.6,635.25,639.5,639.8,653.9,62171,40415655.8,26-JUL-2013,3065,INE571A01020,
IPGETF,EQ,2636,2670,2622.1,2646.8,2622.1,2610.2,216,573188,26-JUL-2013,51,INF109K01FV4,
IPRINGLTD,EQ,32.95,32.95,32.95,32.95,32.95,33,25,823.75,26-JUL-2013,1,INE558A01019,
IRB,EQ,89.95,90.8,84.1,85.6,85.9,88.4,1895256,163953123.65,26-JUL-2013,14730,INE821I01014,
IRFC,N1,1097.1,1097.1,1097.1,1097.1,1097.1,1097.1,100,109710,26-JUL-2013,1,INE053F07520,
IRFC,N2,1125,1133.99,1121,1121,1121,1122,385,434012.4,26-JUL-2013,5,INE053F07538,
IRFC,N4,1029.99,1029.99,1029.99,1029.99,1029.99,1030,96,98879.04,26-JUL-2013,7,INE053F07579,
ISMTLTD,BE,9.05,9.4,9,9.25,9.2,9.3,15896,147700.4,26-JUL-2013,62,INE732F01019,
ITC,EQ,360.65,372.75,349.65,368.15,368.8,358.9,11707588,4262544313.9,26-JUL-2013,117593,INE154A01025,
ITDCEM,EQ,164,165,163,163,163,165,1187,194681,26-JUL-2013,4,INE686A01018,
ITI,EQ,15.65,15.95,15.1,15.3,15.15,15.45,38230,592944.4,26-JUL-2013,286,INE248A01017,
IVC,EQ,17.8,17.8,17.15,17.55,17.75,17.9,55110,965971.8,26-JUL-2013,345,INE050B01023,
IVP,EQ,34.65,34.65,34.65,34.65,34.65,33,100,3465,26-JUL-2013,1,INE043C01018,
IVRCLINFRA,EQ,12.95,13.45,12.8,12.95,12.95,12.8,4330362,56606281.6,26-JUL-2013,12828,INE875A01025,
J&KBANK,EQ,1179.1,1195,1125,1130.45,1129.95,1178.15,37180,42673918.95,26-JUL-2013,4254,INE168A01017,
JAGRAN,EQ,91,91.75,86.6,90.35,91.1,90.1,55755,5012226.75,26-JUL-2013,775,INE199G01027,
JAIBALAJI,BE,27.7,28.5,27,28.5,28.45,28.35,10569,295317.8,26-JUL-2013,111,INE091G01018,
JAICORPLTD,EQ,42.5,43.4,41.55,42.25,42.7,42.4,333301,14130880.6,26-JUL-2013,3318,INE070D01027,
JAMNAAUTO,EQ,73,73,73,73,73,73,2220,162060,26-JUL-2013,3,INE039C01016,
JAYAGROGN,EQ,86,89,85,88.75,87.05,87,3457,302426.05,26-JUL-2013,55,INE785A01026,
JAYNECOIND,EQ,7.05,7.35,7.05,7.1,7.2,7.4,16375,116981.9,26-JUL-2013,85,INE854B01010,
JAYSREETEA,EQ,75.6,76.45,75.55,75.75,75.55,76.25,31802,2414402.9,26-JUL-2013,312,INE364A01020,
JBCHEPHARM,EQ,78.55,78.95,76.1,76.85,76.9,77.8,44257,3424956.5,26-JUL-2013,651,INE572A01028,
JBFIND,EQ,94.15,94.55,92.3,92.65,92.95,94.5,12882,1200732.2,26-JUL-2013,315,INE187A01017,
JCTEL,BE,0.4,0.4,0.4,0.4,0.4,0.4,1500,600,26-JUL-2013,1,INE264B01020,
JENSONICOL,EQ,2.35,2.6,2.35,2.45,2.4,2.45,3354,8267.25,26-JUL-2013,19,INE819B01021,
JETAIRWAYS,EQ,335,404,333.2,396.35,397.7,337.55,7745823,2951412964.15,26-JUL-2013,165772,INE802G01018,
JHS,EQ,10.9,10.9,9.9,9.9,9.9,10.4,30293,309300.75,26-JUL-2013,131,INE544H01014,
JIKIND,EQ,0.8,0.85,0.75,0.8,0.8,0.8,30834,24089.7,26-JUL-2013,25,INE026B01049,
JINDALPHOT,EQ,68.15,70.7,67.4,67.95,68,69.2,5812,398385.9,26-JUL-2013,266,INE796G01012,
JINDALPOLY,BE,128,129.95,125,125.8,125,128.4,11374,1448838.6,26-JUL-2013,338,INE197D01010,
JINDALSAW,EQ,47.85,48.75,46,46.65,46.5,48.05,46079,2161356.75,26-JUL-2013,718,INE324A01024,
JINDALSTEL,EQ,197.65,200.95,187.2,189.95,189.85,196.55,2240010,434269397.65,26-JUL-2013,32753,INE749A01030,
JINDALSWHL,EQ,312,317.95,287.1,294.6,294.6,314.45,27213,8079787.85,26-JUL-2013,1097,INE824G01012,
JINDCOT,EQ,8.75,9.05,8.15,8.3,8.15,8.9,17208,145791.8,26-JUL-2013,92,INE904J01016,
JINDRILL,EQ,162.85,166.9,160,161.3,161.95,163.35,632,102350.8,26-JUL-2013,60,INE742C01031,
JINDWORLD,EQ,91,93.15,90,92.35,93,90.5,12025,1090689.45,26-JUL-2013,125,INE247D01013,
JISLDVREQS,EQ,26.85,27.35,26.5,26.9,27,27.05,4345,116190.55,26-JUL-2013,68,IN9175A01010,
JISLJALEQS,EQ,52.85,54.2,51.85,53.35,53.7,51.85,1207094,63768884.9,26-JUL-2013,8328,INE175A01038,
JKCEMENT,EQ,208,208,200,201.95,200,205.75,3781,766909.7,26-JUL-2013,1019,INE823G01014,
JKIL,EQ,162.95,162.95,151,156.2,159,158.5,2697,422405.9,26-JUL-2013,221,INE576I01014,
JKLAKSHMI,EQ,70.5,73.35,70.5,71.15,70.9,70.85,72993,5233512.45,26-JUL-2013,1665,INE786A01032,
JKPAPER,EQ,26.25,26.6,25.85,25.95,25.85,26.5,26452,687938.85,26-JUL-2013,269,INE789E01012,
JKTYRE,EQ,103.05,104.05,100.65,101.4,101.15,102.3,39296,4023481.85,26-JUL-2013,1066,INE573A01034,
JMCPROJECT,EQ,79.95,80,67.1,69.85,70,70,6538,454726.45,26-JUL-2013,221,INE890A01016,
JMFINANCIL,EQ,23.1,23.45,21.7,22.05,21.9,22.9,606625,13506695.5,26-JUL-2013,3095,INE780C01023,
JMTAUTOLTD,EQ,121,122,121,122,122,120.1,8847,1074166.5,26-JUL-2013,20,INE988E01010,
JOCIL,EQ,88.5,88.5,88.05,88.05,88.05,89,120,10611,26-JUL-2013,2,INE839G01010,
JPASSOCIAT,EQ,43.3,43.85,40.3,41.7,41.7,43,44176610,1846175789.95,26-JUL-2013,113086,INE455F01025,
JPINFRATEC,EQ,22.1,22.45,21.1,21.55,21.75,21.9,254072,5538678.6,26-JUL-2013,1367,INE099J01015,
JPPOWER,EQ,13.5,14.7,12.8,13.25,13.45,13.45,14102026,195555908.7,26-JUL-2013,28921,INE351F01018,
JSL,EQ,47.1,47.6,46.25,46.35,46.3,47,11302,530855.65,26-JUL-2013,201,INE220G01021,
